财务报表	財務諸表
投资组合	ポートフォリオ
追加保证金规制	増担保規制
跳空	窓
做市	マーケットメイク
观望	様子見
无面额股票	無額面株式
短期	目先
招股说明书	目論見書
震荡	もみあい
交叉持股	持ち合い株
控股公司	持株会社
承销协议	元引受契約
反弹幅度	戻り歩調
观望情绪	模様眺め気分
成交撤销	約定取消し
成交价格	約定値段
最低价	安値
有价证券期权交易	有価証券オプション取引
有价证券申报书	有価証券届出書
有价证券交易税	有価証券取引税
有价证券报告书	有価証券報告書
有偿增资	有償増資
优先出资证券	優先出資証券
阳线·阴线	陽線・陰線
存托凭证	DR
开盘	寄り付き
弱势整理	弱保合い
四价（开、高、低、收）	四本値
欧式期权	ヨーロピアンタイプオプション
获利回吐	利食い売り
收益率	利回り
流通市场	流通市場
流动性风险	流動性リスク
对冲头寸	両建て
理论基差	理論ベーシス
临时报告书	臨時報告書
可比公司估值法	類似会社比準価格算定式
定期积立	るいとう
回购交易	レポ取引
合并财务报表	連結財務諸表
连续成交报价	連続約定気配
做多	ロング
滚动平仓	ローリング決済
滚动套保	ローリング・ヘッジ
展期	ロールオーバー
权证	ワラント
折扣债券	割引債
折扣转换公司债型新股预购权债券	割引転換社債型新株予約権付社債
溢价偿还型转换公司债型新股预购权债券	割増償還型転換社債型新株予約権付社債
自动柜员机	ATM
美国存托凭证	ADR
自动数据处理系统	ADP
每股净资产	BPS
商业票据	CP（コマーシャルペーパー）
券款同步交收	DVP決済
电子期货综合交易	EFS取引
期货交易对现货交易	EFP取引
交易所交易基金	ETF
每股收益	EPS
电子披露系统	EDINET
国际证券识别编码	ISINコード
首次公开发行	IPO
价内期权	ITM
场外净额结算交易	J-NET取引
JPX日经指数400	JPX日経インデックス400
JPX Prime 150指数	JPXプライム150指数
价外期权	OTM
市盈率	PER
市净率	PBR
净资产收益率	ROE
资产收益率	ROA
实时全额清算	RTGS
社会责任投资	SRI
特殊清算价格	SQ値
目标价格	Target
公开收购要约	TOB
适时信息披露系统	TDnet
交易日加一清算	T+1
TOPIX新指数系列	TOPIXニューインデックスシリーズ
TOPIX（东证股价指数）	TOPIX（東証株価指数、TPX）
风险价值法	VaR方式
5%规则	5%ルール
贝塔系数	β値
转让清算制度	ギブアップ制度
场内经纪会员	才取会員
期货期权开户承诺书	先物・オプション取引口座設定約諾書
试验上市制度	試験上場制度
自营	自己・委託区分発注
涨跌停分配	ストップ配分
约定撤销后复活交易	復活のための売買
振替结算国债	振決国債
双向持仓提前交割	両建早受渡し
ToSTNeT市场交易	ToSTNeT取引
